지역,매장명,현황,주소,매장서비스,전화번호
서울 강동구,고덕비즈밸리점,영업중,서울특별시 강동구 고덕비즈밸리로 38 (고덕동) KS타워 101호~102호,테라스/주차,070-7782-0055
경남 창원시 의창구,창원팔용점,영업중,경상남도 창원시 의창구 창원대로18번길 6-8 .,테라스/흡연시설/주차,055-298-3434
서울 강남구,파르나스몰점,영업중,"서울특별시 강남구 테헤란로 521 (삼성동, 파르나스타워) 파르나스몰 내 B1층 F-3a호",주차,02-3453-1024
서울 노원구,석계역점,영업중,서울시 노원구 화랑로 325 1층,주차,02-942-1345
강원 동해시,동해묵호점,영업중,강원특별자치도 동해시 해안로 368 1~3층,테라스/주차,033-534-8902
충남 홍성군,충남도청점,영업중,"충청남도 홍성군 홍북읍 청사로174번길 25 (성원타워,1-2층) 신경리 553",주차,041-631-4725
세종 세종시,세종국책연구단지점,영업중,"세종특별자치시 시청대로 370 (반곡동, 나라키움세종국책연구단지) .",주차,044-865-4684
부산 사하구,동아대 인문대점,영업중,"부산광역시 사하구 낙동대로550번길 37 (하단동, 동아대학교) S01 인문대 카페",,051-200-6165
경남 진주시,경상대 느티마루점,영업중,"경상남도 진주시 진주대로 501 (가좌동, 경상국립대학교가좌캠퍼스) .",,.
대구 북구,경북대 크누라운지점,영업중,"대구광역시 북구 대학로 80 (산격동, 경북대학교) .",주차,.
서울 성북구,국민대 성곡도서관점,영업중,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교) 도서관 지하1층",주차,02-910-4954
광주 북구,atti-C 2023점,영업중,"광주광역시 북구 용봉로 77 (용봉동, 전남대학교) .",주차,062-530-0040
서울 동대문구,경희대 경영대점,영업중,서울특별시 동대문구 경희대로 26 (회기동) 경영대학 3층,주차,.
광주 서구,광주상무점,영업중,"광주광역시 서구 상무연하로 16 (치평동, 스마일빌딩) 1층 109호",주차,062-371-7778
충북 청주시 청원구,청주내수DI점,영업중,충청북도 청주시 청원구 내수읍 충청대로 410-19 1F-2F 구성리 251-53,테라스/주차,043-241-0517
서울 중구,명동역점,영업중,"서울특별시 중구 퇴계로 131 (충무로2가, 신일빌딩) .",,02-752-5925
인천 부평구,인천굴포천역점,영업중,"인천광역시 부평구 충선로209번길 49 (삼산동, 삼산노블시티프라자) 삼산동 463-2, 103,104,105호",테라스/주차,070-4400-4664
대구 서구,대구팔달교DT점,영업중,대구광역시 서구 팔달로 34 1~2층,DT 매장/테라스/주차,0507-1323-9597
인천 중구,인천공항교통센터점,영업중,"인천광역시 중구 공항로 272 (운서동, 인천공항) 인천국제공항 제1여객터미널 지하1층(실번호 2-32-07)",주차,032-743-3718
부산 중구,한국선원센터점,영업중,"부산광역시 중구 충장대로9번길 66 (중앙동4가, 한국선원센터) (중앙동4가 74-7)1층",,070-4070-7506
제주 제주시,제주애월천덕로점,영업중,제주특별자치도 제주시 애월읍 천덕로 238-1 다동 1층 납읍리 2513-1,테라스/주차,064-799-6667
경기 화성시,화성만세DT점,영업중,경기도 화성시 향남읍 서해로 191 1층,DT 매장/테라스/주차,070-5159-5942
대구 달서구,대구장기점,영업중,대구광역시 달서구 장기로 268 1~2층,흡연시설/주차,053-522-0666
부산 연제구,부산연산점,영업중,부산광역시 연제구 반송로 89 (연산동) 1층,주차,051-989-3296
경기 안양시 동안구,평촌점,영업중,경기도 안양시 동안구 관평로170번길 43 (훼미리타운 125호) 1층,테라스/흡연시설/주차,031-385-3400
인천 남동구,남동케이원점,영업중,"인천광역시 남동구 비류대로 622 (남촌동) 남동산단케이원 1층 105,106,108호 (남촌동)",주차,032-821-9110
충북 청주시 흥덕구,오송역사점,영업중,충청북도 청주시 흥덕구 오송읍 오송가락로 123 (오송역 2층 맞이방) 봉산리 370-31,주차,.
경북 구미시,구미CGV점,영업중,"경상북도 구미시 구미중앙로 44 (멀티복합상가) 원평동68-1, 1층",주차,054-604-0375
울산 북구,울산정자해변점,영업중,울산광역시 북구 동해안로 1544 (정자동) A동 1층~2층,테라스/주차,052-281-0620
부산 부산진구,부산서면일번가점,영업중,부산광역시 부산진구 서면로68번길 52 (부전동) 1층,,051-819-1449
강원 강릉시,강릉안목해변점,영업중,"강원특별자치도 강릉시 창해로14번길 34-1 (견소동) 견소동283-6,견소동132",테라스,070-7575-0184
경북 경주시,경주용강DT점,영업중,"경상북도 경주시 산업로 4510 (용강동, 용강주유소) .",DT 매장/주차,070-7575-0185
전북 군산시,군산수송점,영업중,"전라북도 군산시 수송북로 22. 수송동 831-1,1층",흡연시설/주차,063-467-9500
광주 북구,광주운암점,영업중,광주광역시 북구 북문대로 184 (운암동) .,주차,062-531-7711
경기 이천시,이천축산농협점,영업중,경기도 이천시 구만리로 107 (진리동) 진리동 371-2,테라스/주차,031-635-6694
경기 구리시,구리돌다리점,영업중,경기도 구리시 경춘로227번길 14 (인창동) 1층,테라스/24시간/주차,031-564-4565
서울 성동구,소월아트홀점,영업중,서울특별시 성동구 왕십리로 275-1 (행당동 133-2) .,테라스/흡연시설/주차,02-2294-7002
서울 송파구,송파거여역점,영업중,"서울특별시 송파구 오금로 513 (위례빌딩,1층)  거여동 37",테라스,02-449-6232
경북 경주시,경주주상절리점,영업중,경상북도 경주시 양남면 동해안로 486 .,테라스/주차,054-743-3780
충남 홍성군,(하)홍성휴게소점,영업중,충청남도 홍성군 은하면 금국리 275-2 .,주차,041-642-1172
충남 홍성군,(상)홍성휴게소점,영업중,충청남도 홍성군 은하면 서해안고속도로 220 .,주차,041-642-1172
울산 울주군,울산KTX점,영업중,울산광역시 울주군 삼남읍 도호1길 38 1층,주차,052-937-8887
경기 성남시 분당구,분당파크타운점,영업중,"경기도 성남시 분당구 내정로 170 (수내동, 동신파크빌딩) .",주차,031-713-8570
경기 하남시,하남덕풍점,영업중,경기도 하남시 덕풍북로 2 .,주차,070-4791-4731
대전 중구,대전오류점,영업중,"대전광역시 중구 계룡로 876 메종드메디컬빌딩 104호, 202호 .",흡연시설/주차,042-522-3141
충남 계룡시,계룡대점,영업중,충청남도 계룡시 신도안면 신도안1길 43 (계룡스포츠센터) 계룡스포츠센터 1층,주차,042-551-5508
대전 서구,대전타임월드점,영업중,대전광역시 서구 둔산로 32-13(둔산동) .,테라스/흡연시설/주차,042-489-1315
경북 구미시,구미오태DT점,영업중,경상북도 구미시 금오대로 320 .,주차,054-461-0348
경기 고양시 덕양구,화정DI점,영업중,경기도 고양시 덕양구 화신로 254 (화정동) .,테라스/주차,031-971-4097
경기 과천시,과천정보타운점,영업중,"경기도 과천시 과천대로7가길 20 (갈현동,프리즘스퀘어1 1층 101호) 갈현동 산32",주차,02-6958-6720
경기 양평군,양평북한강DI점,영업중,경기도 양평군 양서면 양수로118번길 29 할리스,테라스/주차,031-8079-7090
전북 완주군,완주삼봉점,영업중,전라북도 완주군 삼례읍 신기길 5-3 /수계리 1212-4,,063-261-2003
서울 송파구,잠실새내역점,영업중,"서울특별시 송파구 올림픽로12길 8 (잠실동, 제일빌딩) .",테라스/흡연시설,02-416-2085
경기 화성시,화성남양점,영업중,경기 화성시 역골중앙로 115 1층 /남양읍 남양리 2279-2,주차,031-8067-7760
경기 여주시,여주교동DI점,영업중,경기도 여주시 향교로 17 (창동) 1층~2층 /창동 183-4,주차,031-882-8121
서울 중랑구,중랑역점,영업중,서울특별시 중랑구 망우로 210 (상봉동) .,,02.6085.7858
경기 성남시 분당구,분당서울대병원점,영업중,"경기도 성남시 분당구 구미로173번길 82 (구미동, 분당서울대학교병원) 본관 1동",주차,031-8039-6020
서울 광진구,강변역점,영업중,"서울 광진구 구의강변로 64, 구의아크로리버 1층 구의동 589-10",주차,070-7802-0303
대구 수성구,대구중동점,영업중,대구 수성구 중동 322-14 .,테라스/24시간/흡연시설/주차,053-767-4326
경기 오산시,오산궐동점,영업중,경기 오산시 궐리사로 34 1층 (백충빌딩 1층) 궐동 670-1,테라스/24시간/주차,031-374-7999
경기 오산시,오산역점,영업중,"경기도 오산시 오산로 195 (오산동, 명신예식홀) 오산동 882-1",24시간/주차,031-8042-7719
서울 용산구,용산아이파크몰점,영업중,"서울특별시 용산구 한강대로23길 55, 서관 4층 (한강로3가, 용산역) .",주차,02-2012-0473
서울 강서구,등촌역점,영업중,서울특별시 강서구 등촌로 229 1~2층 /등촌동 507-1,테라스/주차,02-2655-2290
부산 사상구,부산서부터미널점,영업중,"부산광역시 사상구 사상로 201 (괘법동, 서부시외버스터미널) .",,051-323-0305
강원 춘천시,춘천강원대점,영업중,강원특별자치도 춘천시 서부대성로 229 (효자동) .,,033-253-0425
인천 연수구,송도대홍프라자점,영업중,인천광역시 연수구 해돋이로152번길 9 /송도동 21-57,주차,032-710-3810
전남 순천시,순천조례점,영업중,전라남도 순천시 충효로 109 (디지털프라자전자랜드) /조례동 1264,주차,061-902-7288
충남 논산시,논산내동점,영업중,"충청남도 논산시 대학로65번길 6-5 101,102,201호 /내동 1189",테라스/주차,041-733-4855
서울 구로구,오류동점,영업중,"서울특별시 구로구 경인로 224 (오류동, 칸타빌레5차) .",,02-2625-4854
경기 부천시 원미구,부천역점,영업중,"경기도 부천시 부일로 448 (심곡동, 프리존빌딩) 110호, 204호",흡연시설/주차,032-665-8255
경기 화성시,화성병점점,영업중,"경기도 화성시 병점동로 105 1,2층",,031-233-4686
전북 군산시,군산은파유원지DI점,영업중,전라북도 군산시 백토로 284-35 나운동 191-70,테라스/주차,063-467-1199
서울 송파구,잠실학원사거리점,영업중,"서울특별시 송파구 석촌호수로 130 (삼전동, 신원빌딩) 삼전동 1-1외 3필지",주차,02-3431-4662
경북 구미시,구미시청점,영업중,경상북도 구미시 송정대로 54 (송정동) .,테라스,054-452-8297
경기 화성시,화성향남DT점,영업중,"경기도 화성시 향남읍 향남로 306 방축리294,295-2번지",DT 매장/테라스/흡연시설/주차,070-7575-0745
서울 강서구,발산역점,영업중,서울특별시 강서구 강서로 357 (내발산동) .,주차,02-2663-4976
서울 양천구,목동파리공원점,영업중,"서울특별시 양천구 목동서로 57 (목동, 현대파리지앙) .",주차,02-2645-8497
인천 부평구,인천한길안과병원점,영업중,"인천광역시 부평구 부평대로 37 (부평동 543-35, 정명빌딩한길안과병원) .",주차,032-503-3379
서울 은평구,북한산DI점,영업중,"서울특별시 은평구 북한산로 248-8 (진관동, 자돈) .",테라스/주차,02-3157-4843
경북 구미시,구미상모사곡점,영업중,경상북도 구미시 박정희로 259 (사곡동) .,주차,054-457-7772
서울 구로구,신도림테크노마트점,영업중,서울특별시 구로구 새말로 97 (신도림테크노마트) 104~106호,주차,02-2111-1300
제주 제주시,제주황사평DT점,영업중,제주특별자치도 제주시 연북로 756 1~2층,DT 매장/테라스/주차,064-722-2529
서울 중구,KG타워점,영업중,"서울특별시 중구 통일로 92 (순화동, 케이지타워) 1층",주차,02-777-5559
서울 송파구,올림픽공원역점,영업중,"서울특별시 송파구 올림픽로 424 (방이동, 올림픽공원) (A-3동 C구역 )",주차,02-420-9997
울산 북구,울산매곡점,영업중,울산광역시 북구 신기17길 3 (매곡동) 1-2층,,052-292-5522
서울 마포구,신촌역점,영업중,"서울특별시 마포구 신촌로 88 (노고산동, 태영빌딩) 2층",,02-325-7588
울산 중구,울산국가정원점,영업중,울산광역시 중구 태화강국가정원길 201 (태화동) .,테라스,052-245-8497
서울 노원구,노원역점,영업중,"서울특별시 노원구 노해로 488 (상계동, 근호빌딩) 1층",테라스/주차,02-933-8824
경기 남양주시,다산제이원점,영업중,경기도 남양주시 다산중앙로82번안길 28. 124~126호,테라스/주차,031.558.8885
경기 고양시 일산동구,BMC점,영업중,경기도 고양시 일산동구 동국로 32 산학협력관 1층,,031-961-5692
전북 전주시 덕진구,전북대덕진광장점,영업중,전라북도 전주시 덕진구 덕진광장로12 1~2층,,063-272-2400
서울 금천구,가산대륭22차점,영업중,"서울특별시 금천구 가산디지털1로 146 109,110,111호",주차,02-2059-1131
경남 진주시,진주초전점,영업중,경상남도 진주시 초북로20번길 5 1층 /초전동 1710-7,주차,070-7801-1029
강원 원주시,연세대학교원주장례식장점,영업중,강원도 원주시 일산로 20 장례식장 1층,테라스/주차,033-735-3335
강원 원주시,원주세브란스기독병원점,영업중,강원도 원주시 일산로 20 원주세브란스기독병원 외래센터 1층,주차,033-735-3339
울산 북구,울산공항2호점,영업중,울산광역시 북구 산업로 1103 울산공항 2층 격리대합실 화봉동 1140-16,주차,052-289-5525
울산 북구,울산공항1호점,영업중,울산광역시 북구 산업로 1103 울산공항 2층 일반대합실 화봉동 1140-16,주차,052-289-5525
충남 공주시,(논)탄천휴게소2호점,영업중,충청남도 공주시 탄천면 논산천안고속도로 27 (탄천하행휴게소) .,주차,.
경기 의정부시,의정부역점,영업중,"경기도 의정부시 신흥로232번길 5-31,(의정부동, 아이비타워) 1층",테라스/24시간/주차,031-876-7006
제주 제주시,이도점,영업중,제주특별자치도 제주시 중앙로 302 (더스프링) 이도이동 1025-9,주차,070-7694-2323
서울 마포구,연트럴파크점,영업중,서울특별시 마포구 동교로 233 (연남동) .,테라스,02-335-7805
서울 강남구,강남우리라운지점,영업중,서울특별시 강남구 테헤란로 301 역삼동 701-02 삼정빌딩 L층,주차,02-566-1002
경기 수원시 영통구,수원영통점,영업중,경기도 수원시 영통구 청명남로 10 /영통동 1000-1,주차,031-202-3356
서울 용산구,이태원역점,영업중,서울특별시 용산구 이태원로 180 2층~3층,,02-749-8752
서울 양천구,오목교역점,영업중,"서울특별시 양천구 오목로 344 (목동, 청학빌딩) 1층",주차,02-2062-8405
대구 서구,메가박스프리미엄만경관점,영업중,대구 중구 국채보상로 547 MMC 만경관 4층 .,주차,070-7717-2192
전남 순천시,순천신대점,영업중,전라남도 순천시 해룡면 향매로 67 신대리 1978,,061-723-5185
서울 금천구,시흥사거리점,영업중,서울특별시 금천구 시흥대로 225 1층 /시흥동 994-9,주차,02-804-9226
전북 전주시 완산구,전주효천점,영업중,"전라북도 전주시 완산구 쑥고개로 351, 1층 101호~102호 /효자동2가 1326-4",주차,063-224-5777
제주 제주시,제주도두해안DT점,영업중,제주특별자치도 제주시 도두일동 1686 .,DT 매장/테라스/주차,064-745-7301
경기 고양시 덕양구,고양향동점,영업중,"경기도 고양시 덕양구 향기3로 9, 101호 향동동 536",테라스/주차,02-3158-0031
광주 북구,광주북구청점,영업중,광주광역시 북구 서방로 2 .,,062-511-8002
서울 강남구,강남역2점,영업중,"서울특별시 강남구 강남대로 422 (역삼동) 역삼동816,816-7,816-8",테라스/주차,02-568-9056
서울 용산구,숙대입구점,영업중,서울특별시 용산구 청파로 276 2층~3층,테라스,02-704-9636
경남 김해시,김해복음병원점,영업중,경상남도 김해시 활천로 42 (삼정동) .,테라스/주차,055-723-2053
서울 서대문구,홍제천점,영업중,"서울특별시 서대문구 홍제내길 52,1~2층 (홍제동 361-49) .",주차,02-396-0903
경기 고양시 일산동구,롯데시네마라페스타점,영업중,"경기도 고양시 일산동구 무궁화로 32-34 (장항동, 라페스타C) 3층",주차,070-7733-0384
대전 유성구,충남대점,영업중,대전광역시 유성구 대학로 84 (482-6) .,테라스/주차,070-7543-1009
서울 종로구,종각역점,영업중,서울특별시 종로구 종로 60-1 종로2가 102-3,,02-736-3399
부산 사하구,부산아트몰링영풍문고점,영업중,부산광역시 사하구 낙동남로 1413 아트몰링 13층,주차,051-999-7122
경기 광명시,광명GIDC점,영업중,"경기도 광명시 일직로 43, 지하2층 G249, G250호 /일직동 514",주차,02-6914-6550
경기 시흥시,시흥능곡점,영업중,"경기도 시흥시 능곡번영길 25, 아리테브릿지 107,108,205,206호 (능곡동 211-3)",주차,070-8806-1314
경기 평택시,평택칠괴점,영업중,"경기도 평택시 칠괴길 84,1층 (101호, 104호) 칠괴동 492",주차,031-665-1770
경기 평택시,송탄서정점,영업중,"경기도 평택시 경기대로 1371,102호 서정동 814-1",,031-611-0234
경남 김해시,김해인제대점,영업중,경상남도 김해시 인제로 168 (어방동) 정석빌딩101호,주차,055-314-8589
전남 순천시,순천성가롤로병원점,영업중,"전남 순천시 순광로 221, 순천성가롤로병원 별관 2층 조례동 1742",주차,061-905-0013
부산 부산진구,부산동의대점,영업중,부산광역시 부산진구 엄광로 176 (가야동 464-108) .,주차,051-893-6679
울산 남구,울산삼산로점,영업중,"울산광역시 남구 삼산로 283 (삼산동, 소망빌딩) 삼산동1525-8,1525-9",,052-275-9004
충남 공주시,동학사점,영업중,"충남 공주시 반포면 동학사2로 133 1,2층 .",테라스/주차,070-8836-8038
경기 부천시 원미구,부천순천향병원점,영업중,경기도 부천시 조마루로 170(중동) 본관 지하 1층 .,주차,.
전북 전주시 완산구,전주시네마점,영업중,전라북도 전주시 완산구 전주객사3길 67 (전주시네마타운) 1~2층,주차,063-232-9448
충남 천안시 동남구,천안신부점,영업중,"충청남도 천안시 동남구 만남로 26 (신부동, 대영빌딩) 454-5번지, 4~5층",흡연시설,041-566-5085
경기 평택시,삼성전자평택캠퍼스점,영업중,경기도 평택시 삼성로 144 반도체공장 복지관 1층(고덕면 여염리 1648) .,,031-8094-9981
충남 아산시,천안아산역사점,영업중,충청남도 아산시 배방읍 희망로 100 (천안아산역) 3층 맞이방,주차,0507-1413-5088
부산 서구,부산서구청점,영업중,"부산광역시 서구 보수대로 9 1층 104호 (바른빌딩,충무동1가 3-1)",,070-4647-1455
울산 울주군,울산율리점,영업중,울산광역시 울주군 청량읍 율리영해1길 46 1층,주차,052-221-1030
전북 부안군,(하)부안고려청자휴게소점,영업중,전라북도 부안군 주산면 서해안고속도로 103 (하)부안고려청자휴게소 목포방향,주차,.
전북 부안군,(상)부안고려청자휴게소점,영업중,전라북도 부안군 주산면 서해안고속도로 106 (주산면) (상)부안고려청자휴게소점 서울방향,주차,.
경기 화성시,(하)화성휴게소점,영업중,경기 화성시 팔탄면 서해안고속도로 301-1 화성휴게소 (하행),주차,유선전화없음
경기 화성시,(상)화성휴게소점,영업중,경기도 화성시 팔탄면 서해안고속도로 302 화성휴게소(상행),주차,유선전화없음
서울 동작구,중앙대점,영업중,서울특별시 동작구 흑석로 77 1~4층 .,테라스/흡연시설,02-3280-3280
경기 부천시 원미구,부천심곡점,영업중,경기도 부천시 장말로 376  /심곡동 355-1,,.
제주 제주시,제주연북로DI점,영업중,제주특별자치도 제주시  오남로 166 (오라이동 1550-11),테라스/주차,070-4123-5111
전북 군산시,군산선유도점,영업중,전라북도 군산시 옥도면 선유북길 125-1 선유도리 213-3,테라스/주차,063-464-9314
서울 종로구,독립문역점,영업중,"서울특별시 종로구 통일로 230 (무악동, 경희궁롯데캐슬) 상가동 1층,117호  .",주차,010-2594-7308
전북 익산시,익산모현점,영업중,전라북도 익산시 선화로3길 16-10 1층,,063-842-8420
서울 종로구,성균관대점,영업중,서울특별시 종로구 성균관로 6 (명륜2가 204) 1~4층,테라스,02-743-8526
대전 서구,대전건양대병원점,영업중,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원) 신관 B1 .",주차,042-543-3138
대전 유성구,대전유성온천점,영업중,대전 유성구 온천로 45  1층,주차,042-825-2023
경기 시흥시,스틸랜드점,영업중,"경기도 시흥시 오이도로 21 (정왕동, STEELLAND) 1층",테라스/주차,070-8802-8041
서울 노원구,태릉입구역점,영업중,서울특별시 노원구 화랑로 453 (그린힐) 1층,주차,02-976-0078
